id,slug,name_ar,name_en,type
1,tripoli,طرابلس,Tripoli,city
2,benghazi,بنغازي,Benghazi,city
3,misrata,مصراته,Misrata,city
4,zawiya,الزاوية,Zawiya,city
5,zliten,زليتن,Zliten,city
6,al-bayda,البيضا,Al Bayda,city
7,ajdabiya,اجدابيا,Ajdabiya,city
8,gharyan,غريان,Gharyan,city
9,tobruk,طبرق,Tobruk,city
10,sabratha,صبراته,Sabratha,city
11,sabha,سبها,Sabha,city
12,khoms,الخمس,Khoms,city
13,derna,درنه,Derna,city
14,sirte,سرت,Sirte,city
15,al-jumayl,الجميل,Al Jumayl,city
16,kufra,الكفره,Kufra,city
17,al-marj,المرج,Al Marj,city
18,yafran,يفرن,Yafran,city
19,tarhuna,ترهونة,Tarhuna,city
20,msallata,مسلاته,Msallata,city
21,bani-walid,بني وليد,Bani Walid,city
22,sorman,صرمان,Sorman,city
23,riqdalin,رقدالين,Riqdalin,city
24,zintan,الزنتان,Zintan,city
25,zuwara,زواره,Zuwara,city
26,shahat,شحات,Shahat,city
27,ubari,اوباري,Ubari,city
28,al-abyar,الابيار,Al Abyar,city
29,zaltan,زلطن,Zaltan,city
30,al-qubbah,القبه,Al Qubbah,city
31,tawergha,تاورغا,Tawergha,city
32,al-maya,المايه,Al Maya,city
33,murzuq,مرزق,Murzuq,city
34,brega,البريقه,Brega,city
35,hun,هون,Hun,city
36,jalu,جالو,Jalu,city
37,nalut,نالوت,Nalut,city
38,suluq,سلوق,Suluq,city
39,mizda,مزده,Mizda,city
40,ras-lanuf,راس لانوف,Ras Lanuf,city
41,al-urban,العربان,Al Urban,city
42,waddan,ودان,Waddan,city
43,al-ajaylat,العجيلات,Al Ajaylat,city
44,tukrah,توكره,Tukrah,city
45,brak,براك,Brak,city
46,ghadames,غدامس,Ghadames,city
47,ghat,غات,Ghat,city
48,awjila,اوجله,Awjila,city
49,sousa,سوسه,Sousa,city
50,rabiana,ربيانه,Rabiana,city
